	POLY-SINGLE		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
656.250000	12.63	-55.21	1.00
667.968750	12.37	-52.95	1.00
679.687500	13.05	-52.37	1.00
691.406250	13.13	-54.30	1.00
703.125000	13.55	-55.99	1.00
714.843750	13.54	-60.13	1.00
726.562500	13.42	-64.37	1.00
738.281250	12.87	-64.89	1.00
750.000000	12.70	-64.43	1.00
761.718750	13.01	-65.68	1.00
773.437500	12.92	-68.93	1.00
785.156250	12.79	-71.02	1.00
796.875000	12.62	-74.41	1.00
808.593750	12.33	-78.16	1.00
820.312500	11.80	-81.77	0.99
832.031250	11.12	-83.43	1.00
843.750000	10.62	-82.77	1.00
855.468750	10.38	-83.16	1.00
867.187500	9.76	-83.24	1.00
878.906250	9.32	-82.32	1.00
890.625000	9.09	-82.21	1.00
902.343750	8.98	-83.17	1.00
914.062500	8.65	-85.49	1.00
925.781250	8.02	-86.16	1.00
937.500000	7.57	-86.33	1.00
949.218750	7.08	-86.29	1.00
960.937500	6.63	-84.98	1.00
972.656250	6.06	-87.35	1.00
984.375000	5.30	-86.01	1.00
996.093750	4.85	-82.37	1.00
1007.812500	4.47	-82.68	0.99
1019.531250	3.91	-80.62	0.99
1031.250000	3.58	-77.44	0.99
1042.968750	3.41	-73.63	1.00
1054.687500	3.34	-72.77	1.00
1066.406250	3.60	-72.81	1.00
1078.125000	3.31	-71.54	0.99
1089.843750	3.30	-71.98	0.99
1101.562500	2.98	-73.92	0.99
1113.281250	2.49	-74.81	0.99
1125.000000	1.64	-75.44	0.99
1148.437500	0.46	-75.71	0.99
1171.875000	-1.55	-69.37	0.97
1195.312500	-3.37	-58.16	0.97
1218.750000	-3.30	-39.94	0.97
1242.187500	-3.71	-28.92	0.97
1265.625000	-2.56	-16.05	0.97
1289.062500	-1.85	-6.79	0.98
1312.500000	-0.86	3.44	0.98
1335.937500	0.76	8.28	0.98
1359.375000	1.91	9.13	0.98
1382.812500	3.27	10.07	0.99
1406.250000	4.10	11.12	0.99
1429.687500	5.26	9.44	0.99
1453.125000	5.94	7.76	0.99
1476.562500	6.51	5.65	0.99
1500.000000	7.05	2.36	0.99
1523.437500	7.64	1.90	0.99
1546.875000	8.44	0.06	0.99
1570.312500	9.08	-3.39	0.99
1593.750000	9.52	-8.75	0.99
1617.187500	9.80	-14.68	0.99
1640.625000	10.12	-19.96	0.99
1664.062500	9.76	-25.17	0.99
1687.500000	9.92	-28.33	0.99
1710.937500	9.61	-34.16	0.99
1734.375000	9.17	-38.28	0.99
1757.812500	8.66	-42.01	0.99
1781.250000	8.02	-43.76	0.99
1804.687500	7.27	-47.68	0.99
1828.125000	6.91	-46.58	0.99
1851.562500	6.65	-48.52	0.99
1875.000000	6.16	-46.84	0.99
1898.437500	5.70	-48.89	0.99
1921.875000	5.41	-49.95	0.99
1945.312500	5.06	-51.55	0.99
1968.750000	4.76	-53.09	0.99
1992.187500	4.32	-54.59	0.99
2015.625000	3.66	-55.78	0.99
2039.062500	2.99	-56.77	0.99
2062.500000	2.47	-55.79	0.99
2085.937500	2.34	-55.43	0.99
2109.375000	1.89	-55.37	0.99
2132.812500	1.31	-56.06	0.99
2156.250000	1.03	-55.31	0.99
2179.687500	0.51	-55.32	0.99
2203.125000	0.05	-55.39	0.99
2226.562500	-0.31	-56.81	0.99
2250.000000	-1.23	-55.79	0.99
2296.875000	-2.60	-50.45	0.98
2343.750000	-3.62	-43.59	0.98
2390.625000	-3.76	-34.47	0.98
2437.500000	-3.70	-26.01	0.98
2484.375000	-3.35	-18.45	0.98
2531.250000	-3.13	-14.31	0.98
2578.125000	-3.06	-10.50	0.98
2625.000000	-2.73	-8.58	0.98
2671.875000	-2.75	-4.85	0.98
2718.750000	-2.70	-2.05	0.98
2765.625000	-2.43	2.05	0.99
2812.500000	-2.22	0.02	0.99
2859.375000	-2.23	-0.62	0.99
2906.250000	-2.20	-2.58	0.99
2953.125000	-2.45	-5.17	0.99
3000.000000	-3.08	-6.39	0.99
3046.875000	-3.96	-6.26	0.99
3093.750000	-4.02	-2.04	0.99
3140.625000	-4.10	-1.92	0.99
3187.500000	-4.30	-2.47	0.99
3234.375000	-4.84	-0.04	0.99
3281.250000	-5.17	3.63	0.99
3328.125000	-5.44	10.45	0.99
3375.000000	-5.37	17.33	0.99
3421.875000	-4.79	23.82	0.99
3468.750000	-4.04	28.41	0.99
3515.625000	-3.33	28.56	0.99
3562.500000	-2.72	27.50	1.00
3609.375000	-2.45	24.80	1.00
3656.250000	-2.37	23.79	1.00
3703.125000	-2.54	21.82	1.00
3750.000000	-2.63	21.09	1.00
3796.875000	-2.80	20.33	1.00
3843.750000	-2.86	19.08	1.00
3890.625000	-3.14	15.86	0.99
3937.500000	-3.54	13.75	0.99
3984.375000	-4.05	12.61	0.99
4031.250000	-4.69	11.66	0.99
4078.125000	-5.18	12.90	0.99
4125.000000	-5.50	12.97	0.99
4171.875000	-5.84	11.91	0.99
4218.750000	-6.53	13.11	0.99
4265.625000	-7.19	15.43	0.99
4312.500000	-7.24	20.57	0.99
4359.375000	-7.08	23.38	0.99
4406.250000	-7.04	25.62	0.99
4453.125000	-7.09	27.80	0.99
4500.000000	-7.06	29.74	0.99
4593.750000	-7.11	28.74	0.99
4687.500000	-8.02	33.04	0.99
4781.250000	-9.08	37.75	0.99
4875.000000	-9.24	45.20	0.99
4968.750000	-9.13	53.33	0.99
5062.500000	-7.93	58.11	0.99
5156.250000	-6.57	53.74	0.99
5250.000000	-6.52	43.52	0.99
5343.750000	-7.13	37.47	0.99
5437.500000	-7.98	33.07	0.99
5531.250000	-9.17	33.56	0.99
5625.000000	-9.44	36.05	0.99
5718.750000	-9.90	29.85	0.99
5812.500000	-11.49	25.55	0.99
5906.250000	-13.08	26.01	0.98
6000.000000	-14.72	29.57	0.97
6093.750000	-15.80	44.13	0.96
6187.500000	-15.25	48.54	0.97
6281.250000	-15.48	48.20	0.97
6375.000000	-14.86	49.59	0.97
6468.750000	-14.40	42.00	0.97
6562.500000	-13.48	29.21	0.95
6656.250000	-12.78	2.19	0.92
6750.000000	-13.88	-32.93	0.91
6843.750000	-16.27	-72.15	0.91
6937.500000	-18.16	-110.26	0.94
7031.250000	-18.75	-137.06	0.95
7125.000000	-19.26	-159.39	0.97
7218.750000	-19.69	-179.17	0.96
7312.500000	-21.31	164.19	0.95
7406.250000	-24.67	162.39	0.87
7500.000000	-26.76	-162.40	0.81
7593.750000	-23.97	-136.66	0.90
7687.500000	-21.24	-140.28	0.96
7781.250000	-19.78	-146.87	0.97
7875.000000	-19.71	-152.15	0.98
7968.750000	-19.39	-152.86	0.98
8062.500000	-19.03	-156.19	0.98
8156.250000	-19.10	-159.27	0.98
8250.000000	-20.44	-160.73	0.96
8343.750000	-21.34	-151.07	0.96
8437.500000	-20.58	-140.47	0.97
8531.250000	-19.66	-137.91	0.98
8625.000000	-18.99	-140.11	0.98
8718.750000	-18.75	-145.70	0.99
8812.500000	-19.43	-151.25	0.99
8906.250000	-20.61	-156.40	0.98
9000.000000	-22.70	-159.34	0.96
9187.500000	-25.95	-105.66	0.48
9375.000000	-21.97	-66.65	0.93
9562.500000	-19.37	-68.58	0.98
9750.000000	-18.06	-68.97	0.99
9937.500000	-16.21	-62.83	0.97
10125.000000	-14.06	-69.04	0.97
10312.500000	-13.58	-83.13	0.97
10500.000000	-14.96	-89.29	0.97
10687.500000	-15.62	-86.46	0.98
10875.000000	-16.01	-93.18	0.98
11062.500000	-18.17	-98.90	0.95
11250.000000	-22.40	-81.44	0.84
11437.500000	-20.42	-36.73	0.92
11625.000000	-17.26	-40.82	0.98
11812.500000	-16.71	-51.13	0.98
12000.000000	-17.41	-56.10	0.98
12187.500000	-18.72	-60.95	0.98
12375.000000	-21.34	-56.37	0.96
12562.500000	-23.49	-35.68	0.94
12750.000000	-22.54	-15.00	0.98
12937.500000	-21.27	-7.17	0.99
13125.000000	-20.49	-4.45	0.99
13312.500000	-20.50	-3.12	0.99
13500.000000	-20.48	-0.11	0.99
13687.500000	-20.46	2.13	0.99
13875.000000	-21.15	4.56	0.98
14062.500000	-21.50	13.08	0.99
14250.000000	-21.10	18.70	0.99
14437.500000	-20.50	14.58	0.98
14625.000000	-22.15	5.83	0.95
14812.500000	-26.00	16.57	0.86
15000.000000	-25.87	56.82	0.90
15187.500000	-23.20	69.95	0.95
15375.000000	-21.07	65.79	0.97
15562.500000	-20.80	56.97	0.98
15750.000000	-22.11	50.24	0.97
15937.500000	-24.19	55.14	0.96
16125.000000	-24.91	69.01	0.97
16312.500000	-25.13	77.80	0.97
16500.000000	-25.58	84.97	0.96
16687.500000	-26.12	98.39	0.95
16875.000000	-26.28	118.62	0.92
17062.500000	-23.96	139.14	0.94
17250.000000	-20.66	144.13	0.96
17437.500000	-18.03	136.69	0.97
17625.000000	-16.35	124.84	0.96
17812.500000	-15.70	110.86	0.95
18000.000000	-16.40	97.83	0.96
18187.500000	-17.67	89.03	0.98
18375.000000	-18.63	82.64	0.98
18562.500000	-19.54	73.54	0.98
18750.000000	-21.46	63.88	0.97
18937.500000	-24.26	58.67	0.95
19125.000000	-26.92	66.72	0.94
19312.500000	-27.07	76.00	0.95
19500.000000	-27.25	68.26	0.95
19687.500000	-28.66	54.14	0.93
19875.000000	-31.46	42.16	0.90
20062.500000	-34.13	37.25	0.84
20250.000000	-35.39	29.54	0.80
20437.500000	-35.48	13.54	0.77
20625.000000	-34.61	-9.06	0.79
20812.500000	-32.36	-37.01	0.81
21000.000000	-30.18	-66.08	0.84
21187.500000	-29.84	-93.86	0.87
21375.000000	-31.17	-116.55	0.88
21562.500000	-32.85	-124.21	0.87
21750.000000	-33.84	-125.34	0.86
21937.500000	-34.99	-131.35	0.84
22125.000000	-38.83	-137.15	0.78
22312.500000	-41.08	-133.34	0.66
22500.000000	-41.60	-115.49	0.62
22687.500000	-41.16	-106.98	0.70
22875.000000	-40.86	-108.02	0.69
23062.500000	-40.50	-108.20	0.69
23250.000000	-39.90	-114.30	0.68
23437.500000	-39.19	-125.12	0.63
23625.000000	-39.04	-138.52	0.59
23812.500000	-39.19	-143.87	0.61
